"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1266","Модальное окно закрывается по клику на крестик","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","790","Клик по ингредиенту открывает модальное окно с деталями","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","3850","Переход в раздел ""История заказов""","tests","2026-06-04","passed","2026-06-04","TestPersonalAccount","test_account","",""
"","630","Если кликнуть на заказ, откроется всплывающее окно с деталями","tests","2026-06-04","passed","2026-06-04","TestFeed","test_feed","",""
"","1344","Клик по кнопке показать/скрыть пароль делает поле пароля активным","tests","2026-06-04","passed","2026-06-04","TestRecoveryPassword","test_recovery_password","",""
"","3330","При создании нового заказа счётчик ""Выполнено за сегодня"" увеличивается","tests","2026-06-04","passed","2026-06-04","TestFeed","test_feed","",""
"","3478","При создании нового заказа счётчик ""Выполнено за всё время"" увеличивается","tests","2026-06-04","passed","2026-06-04","TestFeed","test_feed","",""
"","986","Переход по кнопке ""Восстановить пароль"" открывает страницу восстановления","tests","2026-06-04","passed","2026-06-04","TestRecoveryPassword","test_recovery_password","",""
"","835","Переход по кнопке ""Восстановить пароль"" открывает страницу восстановления","tests","2026-06-04","passed","2026-06-04","TestRecoveryPassword","test_recovery_password","",""
"","307","При добавлении булки в заказ увеличивается каунтер ингредиента","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","633","Переход по клику на «Конструктор»","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","12285","После оформления заказа его номер появляется в разделе ""В работе""","tests","2026-06-04","passed","2026-06-04","TestFeed","test_feed","",""
"","1086","Модальное окно закрывается по клику на крестик","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","662","Переход по клику на «Лента заказов»","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","695","Переход по клику на «Лента заказов»","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","4099","Переход в раздел ""История заказов""","tests","2026-06-04","passed","2026-06-04","TestPersonalAccount","test_account","",""
"","3361","Ввод почты и клик по кнопке ""Восстановить"" открывает форму нового пароля","tests","2026-06-04","passed","2026-06-04","TestRecoveryPassword","test_recovery_password","",""
"","3125","Переход по клику на ""Личный кабинет""","tests","2026-06-04","passed","2026-06-04","TestPersonalAccount","test_account","",""
"","1054","Ввод почты и клик по кнопке ""Восстановить"" открывает форму нового пароля","tests","2026-06-04","passed","2026-06-04","TestRecoveryPassword","test_recovery_password","",""
"","2329","Залогиненный пользователь может оформить заказ","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","4981","Заказы пользователя из истории отображаются в ленте заказов","tests","2026-06-04","passed","2026-06-04","TestFeed","test_feed","",""
"","578","Клик по ингредиенту открывает модальное окно с деталями","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","464","Переход по клику на «Конструктор»","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","2306","Залогиненный пользователь может оформить заказ","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","3064","При создании нового заказа счётчик ""Выполнено за сегодня"" увеличивается","tests","2026-06-04","passed","2026-06-04","TestFeed","test_feed","",""
"","4390","Выход из аккаунта","tests","2026-06-04","passed","2026-06-04","TestPersonalAccount","test_account","",""
"","5129","Заказы пользователя из истории отображаются в ленте заказов","tests","2026-06-04","passed","2026-06-04","TestFeed","test_feed","",""
"","1323","Клик по кнопке показать/скрыть пароль делает поле пароля активным","tests","2026-06-04","passed","2026-06-04","TestRecoveryPassword","test_recovery_password","",""
"","2987","При создании нового заказа счётчик ""Выполнено за всё время"" увеличивается","tests","2026-06-04","passed","2026-06-04","TestFeed","test_feed","",""
"","302","При добавлении булки в заказ увеличивается каунтер ингредиента","tests","2026-06-04","passed","2026-06-04","TestMainFunctionality","test_main_functionality","",""
"","3222","Переход по клику на ""Личный кабинет""","tests","2026-06-04","passed","2026-06-04","TestPersonalAccount","test_account","",""
"","2870","После оформления заказа его номер появляется в разделе ""В работе""","tests","2026-06-04","passed","2026-06-04","TestFeed","test_feed","",""
"","696","Если кликнуть на заказ, откроется всплывающее окно с деталями","tests","2026-06-04","passed","2026-06-04","TestFeed","test_feed","",""
"","4209","Выход из аккаунта","tests","2026-06-04","passed","2026-06-04","TestPersonalAccount","test_account","",""
